"Threshold","Accuracy","Balanced_Accuracy","Sensitivity","Specificity"
0.1,54.88,69.32,97.64,41
0.11,56.62,70.47,97.64,43.3
0.12,57.92,71.03,96.76,45.31
0.13,58.79,71.61,96.76,46.46
0.14,60.38,72.66,96.76,48.56
0.15,60.95,73.04,96.76,49.33
0.16,61.61,73.37,96.46,50.29
0.17,62.62,74.04,96.46,51.63
0.18,63.2,74.33,96.17,52.49
0.19,63.41,74.27,95.58,52.97
0.2,63.92,74.61,95.58,53.64
0.21,63.92,74.41,94.99,53.83
0.22,64.06,74.5,94.99,54.02
0.23,64.43,74.64,94.69,54.6
0.24,64.64,74.69,94.4,54.98
0.25,64.64,74.69,94.4,54.98
0.26,64.71,74.64,94.1,55.17
0.27,64.79,74.68,94.1,55.27
0.28,64.93,74.78,94.1,55.46
0.29,64.93,74.78,94.1,55.46
0.3,64.93,74.78,94.1,55.46
0.31,65.08,74.88,94.1,55.65
0.32,65.08,74.88,94.1,55.65
0.33,65.22,74.97,94.1,55.84
0.34,65.29,75.02,94.1,55.94
0.35,65.44,75.12,94.1,56.13
0.36,65.37,74.97,93.81,56.13
0.37,65.44,75.02,93.81,56.23
0.38,65.44,75.02,93.81,56.23
0.39,65.58,75.11,93.81,56.42
0.4,65.65,75.16,93.81,56.51
0.41,65.8,75.26,93.81,56.7
0.42,65.8,75.16,93.51,56.8
0.43,66.16,75.3,93.22,57.38
0.44,66.16,75.1,92.63,57.57
0.45,66.31,75.19,92.63,57.76
0.46,66.52,75.34,92.63,58.05
0.47,66.81,75.43,92.33,58.52
0.48,66.96,75.52,92.33,58.72
0.49,67.39,75.81,92.33,59.29
0.5,67.61,75.76,91.74,59.77
0.51,67.53,75.51,91.15,59.87
0.52,67.61,74.86,89.09,60.63
0.53,68.33,75.14,88.5,61.78
0.54,68.47,74.94,87.61,62.26
0.55,68.69,73.98,84.37,63.6
0.56,68.84,73.28,82.01,64.56
0.57,68.98,72.58,79.65,65.52
0.58,69.2,72.13,77.88,66.38
0.59,69.41,71.37,75.22,67.53
0.6,69.78,70.92,73.16,68.68
0.61,70.07,69.91,69.62,70.21
0.62,70.57,69.55,67.55,71.55
0.63,70.64,68.3,63.72,72.89
0.64,71.29,67.84,61.06,74.62
0.65,71.29,66.15,56.05,76.25
0.66,72.31,65.52,52.21,78.83
0.67,72.67,64.17,47.49,80.84
0.68,73.54,62.95,42.18,83.72
0.69,74.48,62.28,38.35,86.21
0.7,74.11,59.25,30.09,88.41
0.71,74.33,57.5,24.48,90.52
0.72,74.26,55.76,19.47,92.05
0.73,74.19,53.92,14.16,93.68
0.74,74.4,53.07,11.21,94.92
0.75,75.34,53.09,9.44,96.74
0.76,75.42,52.24,6.78,97.7
0.77,75.05,50.91,3.54,98.28
0.78,75.13,50.56,2.36,98.75
0.79,74.98,50.06,1.18,98.95
0.8,75.2,50.11,0.88,99.33
0.81,75.27,49.96,0.29,99.62
0.82,75.34,49.9,0,99.81
0.83,75.42,49.95,0,99.9
0.84,75.42,49.95,0,99.9
0.85,75.42,49.95,0,99.9
0.86,75.49,50,0,100
0.87,75.49,50,0,100
0.88,75.49,50,0,100
0.89,75.49,50,0,100
0.9,75.49,50,0,100
