"depth","lr","threshold","Accuracy","Balanced_Accuracy","Sensitivity","Specificity"
4,0.05,0.43,65.5820679681851,75.0118672227308,93.5103244837758,56.5134099616858
6,0.05,0.35,65.3651482284888,74.8681890618113,93.5103244837758,56.2260536398467
4,0.1,0.37,65.6543745480839,74.6613603227885,92.330383480826,56.992337164751
8,0.05,0.35,65.29284164859,74.6210965313803,92.9203539823009,56.3218390804598
6,0.1,0.34,66.0159074475777,74.5024243040722,91.1504424778761,57.8544061302682
8,0.1,0.3,64.7866955892986,72.6922490082393,88.2005899705015,57.183908045977
4,0.3,0.32,65.0036153289949,72.6367273590344,87.6106194690265,57.6628352490421
6,0.3,0.3,66.0159074475777,71.215627437019,81.4159292035398,61.0153256704981
8,0.3,0.3,68.0404916847433,70.0666259790459,74.0412979351032,66.0919540229885
